"VWC5","EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.2827,0.51,615.83,3.44,0.04,9.15,11.96,87.09,1.725,2.7
0.2826,1.6,409.8,11.81,6.94,1.63,10.92,72.53,1.8125,0.4
0.2702,1.96,279.32,14.87,9.02,-0.82,12.41,68,1.9,0
0.2608,2.29,381.42,16.09,9.83,1.45,14.33,72.23,1.85,0
0.2526,2.22,439.93,15.6,9.64,4.14,14.02,68.82,1.8,0
0.2445,2.42,434.88,17.16,10.96,2.06,15.31,57.68,1.75,0
0.2374,2.17,324.3,15.36,7.91,2.91,14.27,75.15,1.7,0
0.2316,2.67,230.94,18.4,11.61,1.77,17.74,62.35,1.65,0
0.2261,2.64,242.27,17.22,11.23,1.29,19.77,64.73,1.6,0
0.2222,1.06,396.63,6.79,1.41,8.67,16.04,77.18,1.55,0
0.2187,2.6,327.52,15.44,8.09,10.49,22.13,63.33,1.5,0
0.2129,2.36,313.7,14.11,6.45,9.04,23.15,67.67,1.4,0
0.2105,0.97,192.89,6.42,0.69,7.19,14.67,88.81,1.3,2.7
0.2099,2.4,225.75,16.14,8.91,5.04,17.81,81.37,1.2,0
0.2068,1.82,115.45,12.9,5.66,3.57,15.12,84.98,1.1,0
0.2032,2.17,155.14,14.64,8.06,2.14,17.02,72.42,1,0.1
0.1995,1.55,321.32,10.98,1.91,4.71,13.88,78.71,0.9,0.5
0.1968,1.08,253.9,7.84,1.81,2.9,11.09,77.76,0.8,0.5
0.196,1.22,248.96,8.48,1.59,2.35,14.07,74.89,0.7,0
0.1923,1.99,125.39,13.7,5.28,3.56,14.72,72.74,0.775,0
0.1845,3.23,140.86,20.78,11.92,0.96,22.55,64.81,0.85,0
0.1761,1.82,354.99,12.42,4.94,3.7,14.58,69.1,0.925,0
0.1669,1.93,309.94,13.66,6.27,1.24,15.34,71.98,1,0
0.1576,0.98,475.89,6.88,0.5,6.34,12.74,79.36,1.075,1
0.1524,1.94,350.23,13.61,5.34,1.58,13.72,76.24,1.15,0
0.1474,0.75,278.91,5.39,0.44,2.07,12.02,76.47,1.225,1.2
0.1456,1.67,453.68,11.6,4.32,4.63,12.97,72.12,1.3,0
0.1413,1.5,315.45,10.88,3.34,3.78,11.33,73.5,1.325,13.2
0.2095,2.13,377.22,16.2,7.25,1.02,11.76,75.31,1.35,0.2
0.2314,2.23,290.13,17.4,9.62,-0.85,11,71.12,1.375,0.4
0.2248,2.23,271.78,18.35,8.98,-2.03,9.19,61.42,1.4,0
0.216,2.94,153.69,22.69,13.07,-3.91,12.68,60.14,1.425,0
0.2077,1.33,365.35,9.08,0.67,5,15.34,70.46,1.45,2.8
0.2056,1.87,370.72,13.59,5.05,3.24,11.43,70.33,1.475,0
0.2025,1.74,252.91,13.2,5.08,1.02,11.3,73.69,1.5,0
0.1952,1.98,392.39,13.73,3.5,1.38,15.11,70.2,1.4125,1.4
0.1886,2.72,405.29,21.2,10.79,-0.2,10.85,72.39,1.325,0.8
0.1801,2.57,230.62,18.28,8.9,-0.41,11.46,72.7,1.2375,0
0.1722,2.11,239.92,16.5,7.9,-2.59,11.94,67.78,1.15,0
0.1641,1.7,266.42,12.45,4.28,1,12.34,75.22,1.0625,0.5
0.1551,2.33,165.89,16.89,7.81,-0.11,13.77,66.39,0.975,0
0.1471,3.72,509.91,23.81,11.96,3.43,19.24,47.26,0.8875,1.5
0.1401,1.21,255.11,7.92,0.45,6.19,13.46,74.22,0.8,0.5
0.1385,1.23,208.18,8.43,1.59,4.84,15.19,88.03,0.8875,5.4
0.1374,1.42,272.32,9.49,2.03,7.49,15.37,83.03,0.975,2.8
0.1367,1.89,421.7,12.69,2.19,8.01,14.9,79.34,1.0625,0
0.1349,0.95,295.62,6.75,0.44,5.18,12.11,85.98,1.15,0
0.1334,3.82,353.11,24.17,10.89,5.59,20.01,72.4,1.2375,0
0.1306,1.7,322.17,11.02,2.13,7.84,17,79.47,1.325,0
0.1281,1.55,308.18,10.63,3.88,4.02,15.65,72.12,1.4125,0.1
0.1245,3.09,207.64,22.19,10.47,0.69,14.58,65.91,1.5,0
0.1195,3.93,154.78,27.1,14.09,-0.56,17.17,63.53,1.4875,0
0.1141,3.39,279.64,20.39,8.63,5.32,23.51,66.14,1.475,4.1
0.1106,2.72,292.77,15.99,4.42,11.58,22.43,76.32,1.4625,1.9
0.1108,2.81,284.82,16.88,4.96,9.55,21.91,80.87,1.45,1.6
0.11,3.08,309.9,18.83,7.64,7.12,21.76,70.87,1.4375,0.6
0.1086,4.32,217.05,25.82,11.42,4.3,22.49,59.5,1.425,0
0.106,2.98,238.77,15.78,3,15.38,27.57,61.09,1.4125,0
0.1026,4.87,280.26,25.24,10.95,14.64,30.09,52.7,1.4,3.9
0.0994,1.56,268.89,9,1.02,15.39,21.47,83.24,1.45,1.6
0.1015,1.22,390.2,7.78,0.47,9.56,16.74,81.32,1.5,1.1
0.1022,3.24,271.93,20.49,8.74,6.94,17.92,73.2,1.55,0
0.1017,3.66,152.63,22.38,10.65,5.51,21.14,63.34,1.6,0
0.1005,4.59,194.29,26.09,11.93,8.15,25.47,58.43,1.65,0
0.0987,4.3,317.1,24.9,11.72,10.7,23.36,62.17,1.7,0
0.0958,3.42,263.47,19.42,6.92,9.34,23.68,71.94,1.75,0
0.0937,4.79,219.57,27.73,13.02,8.55,24.83,69.29,1.8,0
0.0917,5.37,317.21,28.98,14.75,11.81,27.71,57.77,1.6125,0
0.0897,5.54,318.67,28.54,14.23,13.43,32.33,53.56,1.425,3.6
0.0876,4.14,201.03,22.16,8.67,15.43,27.86,67.71,1.2375,0
0.0858,4.48,271.08,23.55,9.34,15.92,32.42,66.39,1.05,2.6
0.0841,3.05,387.74,16.9,4.82,12.84,24.44,71.98,0.8625,0
0.0821,3.57,265.44,19.77,8.74,11.18,23.94,68.07,0.675,0
0.0804,4.97,159.65,28.53,14.5,8.12,25.38,58.62,0.4875,0
0.079,4.48,171.77,23.86,9.32,11.64,28.83,56.02,0.3,0
0.0791,3.18,233.04,17.59,4.4,14.98,25.42,70.36,0.4625,6.9
0.0819,3.92,309.17,23.14,11.33,8.89,20.79,66.43,0.625,0
0.0826,3.75,318.55,21.8,7.39,8,23.01,55.98,0.7875,2.2
0.0826,2.49,641.36,14.74,5.12,12.13,18.52,67.57,0.95,5.6
0.082,2.37,665.03,14.61,6.05,10.99,18.57,66.13,1.1125,2.2
0.0831,3.35,402.99,19.09,5.28,11.9,24.33,65.96,1.275,5
0.0846,2.76,344.85,16.22,6.94,11.17,20.66,74.23,1.4375,5.4
0.0888,4.5,267.99,25.69,12.13,9.94,24.43,66.94,1.6,0
0.091,3.51,318.17,18.98,4.77,13.83,28.58,60.94,1.6125,0
0.0887,1.91,467.07,11.25,3.03,12.98,18.35,67.36,1.625,0
0.0863,2.66,245.38,15.86,7.02,9.49,20.7,70.87,1.6375,0
0.0841,5.17,187.62,29.47,14.8,7.79,25.11,61.02,1.65,0
0.083,4.47,350.49,24.02,10.73,12.73,28.93,57.87,1.6625,0
0.0818,2.29,383.04,13.6,4.22,9.57,19.67,69.06,1.675,0
0.0808,2.11,232.96,11.65,1.17,11.45,23.35,73.74,1.6875,0
0.0807,4.74,125.83,25.69,13.48,11.27,28.23,70.13,1.7,0
0.0795,5.64,161.4,29.09,15.05,14.47,31.63,58.26,1.6375,0
0.079,5.02,319.04,26.12,11.47,15.88,30.13,64.34,1.575,0
0.0801,5.15,248.07,27.15,13.32,14.04,29.8,59.73,1.5125,0
0.0808,4.64,427.3,23.64,9.02,17.71,34.32,59.4,1.45,1.2
0.0803,3.84,443.17,21.08,6.93,16.1,26.01,65.11,1.3875,0
0.079,1.12,467.43,6.59,0.86,14.73,18.92,82.52,1.325,1.2
0.0785,1.78,411.79,9.85,1.58,16.13,20.66,77.4,1.2625,0.7
0.0784,4.78,287.29,27.23,11.88,12.79,22.95,61.97,1.2,0
0.0768,1.74,321.53,10.25,1.43,11.43,20.92,73.23,1.3375,2.3
0.0773,1.47,255.9,8.48,1.2,13.38,22.06,90.21,1.475,17
0.0802,2.27,217.13,13.17,1.21,12.61,22.53,80.76,1.6125,0
0.0822,2.6,311.45,15,2.17,12.07,22.54,78.97,1.75,15.4
0.0907,1.23,308.97,7.27,1.72,13.04,20.43,90.9,1.8875,0.9
0.1015,2.68,308.94,15.89,5.78,9.23,20.6,80.95,2.025,0.8
0.1081,3.55,338.23,20.73,8.43,7.25,23.54,68.34,2.1625,0
0.1091,2.97,177.32,16.25,3.88,14.09,23.4,77.41,2.3,0
0.1077,4.25,162.13,23.42,10.42,12.47,26.9,70.93,2.225,0
0.103,3.81,182.57,20.65,7.74,11.6,27.73,74.89,2.15,9.1
0.1127,4.35,282.07,23.29,10.1,15.68,27.66,79.12,2.075,0
0.1146,3.36,202.69,19.12,4.73,13.73,26.69,73.45,2,0
0.1077,4.8,164.06,27.04,12.92,11.31,24.64,66.01,1.925,0
0.0997,3.4,190.73,18.83,4.19,14.89,27.02,73.62,1.85,0
0.0932,2.38,330.45,13.55,1.72,14.61,22.28,76.72,1.775,18.4
0.1238,1.56,329.07,9.36,3.81,9.32,18.55,86.58,1.7,31.2
0.1437,3.48,97.51,20.97,7.38,7.44,21.05,71.89,1.725,0
0.1374,2.3,269.48,14.5,5.32,8.98,19.9,79.5,1.75,2.9
0.133,2.89,224.93,16.95,4.69,9.65,21.54,72.09,1.775,0.2
0.1249,1.67,259.01,9.36,0.74,15.81,22.65,84.79,1.8,7
0.1333,4.86,190.79,27.25,11.42,13.53,23.94,71.7,1.825,0
0.1261,4.95,326.11,27.68,12.16,12.03,26.69,65.2,1.85,0
0.1109,3.61,302.08,18.77,7.62,17.89,30.52,68.51,1.875,9.4
0.1132,2.89,327.92,15.96,4.3,13.09,25.91,79.59,1.9,0.8
0.1162,4.75,218.57,26.79,13.17,10.61,24.07,62.12,1.7625,0
0.1056,3.55,237.92,19.49,5.45,14.67,26.25,71.97,1.625,8.5
0.1171,2.64,330.58,15.8,5.72,13.49,20.52,86.36,1.4875,17.9
0.1859,2.65,194.85,15.66,5,13.16,20.24,84.76,1.35,2.5
0.2019,2,359.31,11.73,2.52,13.52,19.97,88.35,1.2125,6.9
0.2162,3.76,285.44,21.08,8.59,13.93,23.52,77.23,1.075,0.4
0.2038,2.88,358.55,16.33,4.65,13.72,21.47,74.63,0.9375,0
0.1865,2.25,435.62,13.16,4.14,13.18,21.26,78.24,0.8,1.7
0.1721,1.98,379.16,10.91,1.45,15.96,23.75,74.87,0.9875,0
0.1562,3.22,402.74,17.74,8.2,13.68,25.38,75.27,1.175,1.8
0.1381,3.73,212.68,21.13,8.84,12.04,24.09,72.34,1.3625,0
0.1234,2.18,120.59,12.27,2.85,13.29,23.36,76.19,1.55,0
0.1131,2.33,239.52,13.25,1.96,14.19,23.41,78.82,1.7375,3.5
0.1071,2.9,511.25,15.92,7.05,16.2,23.57,72.73,1.925,0.6
0.1014,2.45,461.76,14.13,4.26,11.91,22.4,71.64,2.1125,0.4
0.0976,1.83,240.57,11,2.87,9.62,20.22,85.31,2.3,2.3375
0.0951,3.5,199.96,21,10.78,7.97,22.31,75.33,2.225,0
0.0916,4.09,166.89,23.69,12.59,8.15,23.95,70.06,2.15,0
0.0897,0.88,232.2,5.17,0.03,13.06,19.33,88.37,2.075,3.9
0.0892,3.18,302.46,18.24,7.01,12.27,22.17,77.3,2,0
0.0889,1.01,133.14,6.08,1,12.04,18.86,88.2,1.925,6.8
0.0922,2.34,185.01,13.77,3.03,13.49,20.58,77.78,1.85,2.3
0.0963,1.52,340.21,8.92,2.17,12.7,21.64,88.73,1.775,0.7
0.1012,2.86,180.89,16.72,6.1,10.39,22.33,81.24,1.7,0
0.1008,3.84,197.99,21.59,10.64,10.88,25.55,74.91,1.7625,0
0.0991,1.58,172.03,8.96,2.55,13.58,25.03,87.77,1.825,4
0.1033,2.87,126.94,16.43,4.98,12.26,23.9,83.29,1.8875,0
0.1044,1.01,318.94,5.91,0.74,12.19,20.78,88.81,1.95,1.2
0.1145,1.77,314.78,9.17,2.03,10.56,21.22,87.12,2.0125,5.8
0.1735,2.35,412.54,14.25,6.41,11.81,19.67,80.16,2.075,1.7
0.1827,2.54,320.8,15.29,6.58,11.45,20.5,78.35,2.1375,0
0.1785,3.17,131.14,18.4,8.87,9.3,22.44,76.95,2.2,0
0.1694,3.4,189.24,19.32,9.52,12.11,24.25,70.97,2.1625,0
0.1529,3.51,267.81,19.33,9.51,12.53,26.74,69.1,2.125,0
0.1373,2.49,287.13,14.2,5.59,11.6,23.68,77.98,2.0875,0
0.124,3.04,132.76,17.29,8.26,9.75,24.06,74.41,2.05,0
0.1133,3.01,142.91,16.67,6.48,12.15,25.89,72.08,2.0125,0
0.1046,3.49,117.67,19.8,10.77,12.27,25.14,72.21,1.975,0
0.097,3.42,101.36,18.99,10.39,10.93,27.79,74.12,1.9375,0
0.0936,3.64,154.81,19,10.65,13.03,30.68,73.2,1.9,4.7
0.1004,1.6,263.75,9.05,0.83,14.17,24.04,89.35,1.7625,26.2
0.1735,2.05,232.97,12.46,5.14,10.7,19.81,82.51,1.625,0
0.1849,2.22,123.46,13.41,6.05,9.26,20.05,81.18,1.4875,5.5
0.1847,2.61,151.59,16.11,8.22,8.2,20.09,78.09,1.35,0
0.1792,2.63,115.64,16.28,8.68,6.52,20.68,78.12,1.2125,0
0.1732,2.26,214.09,13.54,4.76,9.12,22.16,78.1,1.075,0
0.1707,1.65,237.04,9.13,1.75,15.75,23.43,84.02,0.9375,8
0.213,1.74,410.28,10.33,3.53,12.9,19.8,79.15,0.8,0
0.2125,1.62,352.35,9.56,2.71,10.71,18.9,79.18,0.825,0.4
0.2135,0.5,517.29,2.87,0,13.75,16.1,90.25,0.85,10.9
0.2349,1.68,282.03,10.61,4.19,8.98,17.89,89.21,0.875,2.1
0.2281,2.2,483.14,13.78,7.9,7.84,18.3,80.75,0.9,1.6
0.2229,1.76,649.65,10.7,5.61,12.27,18.69,78.98,0.925,3.1
0.2184,2.26,483.25,14,9.18,11.56,18,79.28,0.95,7.8
0.2285,1.96,731.38,12.18,5.91,11.1,18.78,78.35,0.975,12.9
0.2611,1.1,496.52,7.48,2.13,9.06,14.5,91.57,1,13.7
0.2551,1.72,301.26,11.4,5.52,6.95,16.24,88.52,1.0625,2.6
0.2414,1.48,212.28,9.89,4.1,6.9,14.87,89.79,1.125,0
0.2328,2.06,124.25,13.72,7.49,4.85,16.98,84.91,1.1875,0.1
0.2311,1.22,246.97,8.06,2.64,8.1,15.72,91.57,1.25,10.2
0.2359,1.41,159.99,9.2,3.63,8.06,16.58,91.05,1.3125,0
0.23,1.75,239.15,11.26,5.3,7.95,17.72,84.55,1.375,0
0.2232,2.11,202.09,13.48,9.88,8.36,18.93,79.83,1.4375,0
0.2159,1.58,132.8,10.06,4.26,6.26,19.9,86.12,1.5,0
0.2098,2.07,88.5,13.77,8.05,5.12,18.26,84.98,1.375,0
0.2032,2.14,164.37,13.5,8.84,5.26,19.91,85.74,1.25,0
0.1969,1.44,205.22,9.01,3.13,8.65,18.77,88.95,1.125,0.1
0.1923,1.36,195.64,8.51,3.66,9.16,18.15,92.84,1,0
0.1885,1.98,190.46,11.99,7.19,7.73,21.29,82.94,0.875,3.4
0.1928,1.3,199,7.39,2.13,12.74,20.85,89.62,0.75,1.2
0.2011,1.87,216.26,10.61,5.46,12.85,23.2,88.18,0.625,9.5
0.2602,0.5,164.88,3.1,0.91,8.24,16.21,95.39,0.5,3.9
0.2532,1.49,412.4,9.18,4.32,9.17,18.57,78.09,0.575,0.5
0.2404,1.35,541.02,8.11,3.75,12.6,18.86,78.54,0.65,0.8
0.2301,1.55,377.97,9.83,6.76,10.19,16.01,80.44,0.725,0.5
0.2222,0.96,482.78,6.09,0.95,9.82,14.64,76.71,0.8,10.1
0.242,1.2,576.97,7.66,5.27,7.07,15.68,82.88,0.875,3.2
0.2487,1.49,367.81,9.75,6.12,6.42,14.85,86.39,0.95,2.3
0.245,0.34,483.73,2.2,0,9.4,12.86,89.91,1.025,11.1
0.2596,0.93,207.2,6.13,3.62,7.37,14.99,90.05,1.1,0.7
0.2503,0.59,214.17,3.66,0.1,6.89,14.64,92.81,1.0625,1.2
0.249,0.79,399.07,4.79,1.71,12.14,16.05,88.62,1.025,0.8
0.244,0.61,526.71,3.74,0.07,13.09,15.93,78.9,0.9875,0.8
0.2374,1.25,391.71,7.87,4.88,8.74,16.16,80.44,0.95,0
0.231,1.28,303.75,7.66,4.47,8.62,19.65,86.95,0.9125,0
0.2254,1.77,243.5,10.59,9.25,10.67,21.2,88.34,0.875,0
0.2193,1.75,252.77,10.37,9.51,9.31,22.95,81.14,0.8375,0
0.2139,1.64,279.81,9.18,7.97,13.78,24.57,76.85,0.8,0
0.2088,0.78,207.09,4.85,0.4,10.01,16.82,87.3,0.85,0
0.205,1.38,145.97,8.54,6.72,10.1,19.63,89.11,0.9,0
0.2002,1.4,248.47,8.46,8.38,10.03,20.93,80.46,0.95,0.7
0.196,0.67,536.46,4.24,2.24,10.05,17.09,79.04,1,1.6
0.1927,0.89,432.44,5.54,4.65,9.49,17.88,78.29,1.05,6
0.1996,0.62,530.75,4.22,1.67,9.13,12.42,88.14,1.1,5.5
0.2166,0.89,380.64,5.78,4.44,8.65,15.69,84.48,1.15,0.8
0.2157,0.3,402.59,1.83,0,12.63,16.71,94.76,1.2,0
0.2149,0.39,370.85,2.45,1.07,10.15,16.5,90.84,1.2125,0.2
0.2129,0.7,249.56,4.41,1.85,11.23,16.83,91.89,1.225,0
0.21,1.07,315.9,7.07,7.17,7.82,14.5,80.22,1.2375,0
0.2057,0.4,547.56,2.66,0,7.73,14.59,86.8,1.25,7.7
0.2187,0.91,520.02,6.27,5.99,5.07,14.45,76.27,1.2625,0.3
0.219,0.95,215.66,7.15,7.39,3.62,11.76,81.81,1.275,0
0.2154,0.39,349.28,2.51,0,6.67,10.85,85.2,1.2875,0
0.2121,0.74,331.38,4.99,3.59,8.84,13.95,81.54,1.3,0.1
0.2082,0.51,255.04,3.52,1.87,5.1,12.92,89.18,1.15,0.6
0.2057,0.51,172.74,3.64,1.93,5.04,12.77,94.33,1,0
0.2033,0.76,306.19,5.12,4.25,5.09,14.8,90.05,0.85,6.9
0.2251,0.64,236.25,4.69,4.22,1.89,11.36,90.27,0.7,0.9
0.2348,0.9,122.64,6.44,7.1,-0.49,10.69,89,0.55,0
0.2315,0.62,119.66,5.71,6.52,-1.96,8.35,92.66,0.4,0
0.2299,0.17,153.18,1.33,0,3.74,7.45,96.05,0.25,0
0.2279,0.5,319.79,3.46,1.75,5.68,10,90.59,0.1,0.2
0.2259,0.37,469.91,2.84,2.53,3.51,11.84,86.17,0.3,2
0.2244,0.26,303.59,2.06,0.64,2.75,8.56,92.49,0.5,1
0.2315,0.39,238.45,2.9,2.23,2.24,6.4,93.3,0.7,4.4
0.2503,0.72,245.84,5.76,7.15,-0.22,10,86.8,0.9,0
0.2462,0.39,367.25,2.98,0.91,-0.13,9.05,89.61,1.1,0.3
0.2417,0.2,245.27,1.43,0,7.68,9.53,97.01,1.3,0.5
0.24,0.17,263.3,1.12,0.14,7.47,9.97,96.47,1.5,1.7
0.2442,0.6,153.94,4.85,5.62,0.23,10.31,86.68,1.7,0
0.2459,0.39,402.59,2.87,1.06,2.68,8.34,86.27,1.65,2.4
0.254,0.6,358.84,4.42,5.4,1.82,9.5,85.62,1.6,2.4
0.2653,0.1,424.86,0.79,0,3.88,11.35,93.69,1.55,12.8
0.2802,0.1,475.88,0.64,0,9.85,12.05,92.46,1.5,3.3
0.2637,0.6,570.69,4.09,4.34,9.45,13.19,74.59,1.45,0
0.2541,0.29,604.95,1.88,1.59,6.55,15.09,72.32,1.4,10.4
0.2677,0.31,185.66,2.28,1.7,3.91,9.36,92.58,1.35,3.7
0.2732,0.39,248.71,3.18,1.94,-0.23,6.88,91.13,1.3,0.5
0.2625,0.35,439.71,2.96,2.72,1.97,7.04,86.83,1.15,1.1
0.2718,0.1,565.65,0.69,0.02,3.27,8.35,91.64,1,14.2
0.2782,0.49,371.26,3.11,3.23,-0.2,7.59,90.96,0.85,0.5
0.2643,0.19,167.83,1.33,0,-1.19,3.08,95.95,0.7,0.2
0.2577,0.26,202.07,2.2,0.98,0.09,5.07,94.25,0.55,0
0.2542,0.2,161.41,1.75,1.11,-3.42,3.78,94.56,0.4,0
0.2506,0.1,204.41,1.11,0,-2.38,-0.31,98.25,0.25,1
0.2508,0.11,339.85,0.82,0,-0.65,4.43,96.97,0.1,2.4
0.2527,0.28,280.65,2.22,1.98,2.15,9.3,93.39,0.2875,0
0.2504,0.1,366.66,0.75,0,3.03,7.34,87.21,0.475,0
0.2474,0.18,453.33,1.27,0,6.33,8.62,79.81,0.6625,0
0.2492,0.1,661.31,0.85,0.49,3.53,7.04,83.94,0.85,8.3
0.2769,0.1,457.3,1.39,1.32,-0.01,5.15,88.24,1.0375,21
0.291,0.2,491.45,1.75,1.32,-0.07,3,89.07,1.225,9.2
0.2903,0.09,556.36,0.56,0,-0.09,5.49,90.96,1.4125,15.8
0.2919,0.1,406.08,0.6,0,-2.56,1.32,93.12,1.6,10.7
0.2867,0.3,389.82,2.56,2.82,0.21,2.23,92.32,1.45,1.4
0.2948,0.1,605.34,0.58,0.04,0.5,6.83,89.94,1.3,12.1
0.2994,0.18,484.33,1.65,1.14,0.76,5.29,88.77,1.15,2.3
0.2794,0.15,229.37,1.27,0.44,0.92,4.87,90.19,1,0
0.272,0.35,242.36,3.05,4.25,-0.7,5.93,92.46,0.85,2.5
0.272,0.5,328.48,4.02,5.46,-1.96,4.87,94.11,0.7,10.2
0.2863,0.17,276.92,1.35,0.29,1.31,7.42,93.17,0.55,0
0.2706,0.2,217.95,1.59,0.32,2.38,7.07,94.67,0.4,0.9
0.2606,0.1,186.09,0.95,0.07,5.09,8.2,97.47,0.55,1
0.2521,0.11,200.89,0.92,0.01,6.94,9.62,98.25,0.7,3.1
0.2553,0.12,150.97,0.78,0.09,8.03,9.57,98.05,0.85,0.6
0.2526,0.1,501.33,0.54,0,8.03,9.51,91.44,1,0
0.2473,0.11,588.17,0.77,0.16,7.95,10.01,87.8,1.15,0
0.2453,0.1,579.47,0.8,0,4.02,8.74,83.82,1.3,0.9
0.2443,0.3,588.32,2.16,2.11,3.91,7.48,81.39,1.45,2.4
0.2536,0.2,398.11,1.5,0.84,2.18,6.82,85.38,1.6,2.6
0.2553,0.36,431.63,3.21,4.18,0.91,5.18,82.22,1.4,0
0.2604,0.17,507.08,1.39,1.29,-1.03,6,88.32,1.2,10.6
0.28,0.14,582.38,1.02,0.15,3.39,12.45,85.04,1,9.1
0.283,0.19,626.32,1.09,0.18,8.41,14.15,86.96,0.8,6
0.2812,0.3,519.61,2.29,1.88,4.8,8.87,85.05,0.6,11
0.2834,0.21,456.27,1.69,0.43,4.38,8.58,88.88,0.75,14.7
0.2942,0.1,883.56,0.93,0.36,6.42,11.35,77.17,0.9,2.6
0.2778,0.12,576.93,0.91,0.03,6.26,11.22,83.67,1.05,3.3
0.2765,0.25,434.56,1.89,0.71,3.95,9.06,86.13,1.2,4.9
0.2777,0.2,268.12,1.55,0.3,0.37,6.02,92.09,1.35,0
0.2667,0.38,588.13,3.46,4.91,-0.1,3.23,80.61,1.5,0
0.2572,0.31,509.24,2.93,3.64,0.4,4.3,79.83,1.65,0
0.2514,0.21,263.01,1.92,0.59,0.71,6.38,89.94,1.8,0.5
0.2538,0.19,254.78,1.52,0,5.68,8.39,90.18,1.7875,3.3
0.2602,0.21,130.34,1.42,0.45,2.5,7.77,96.96,1.775,0
0.2541,0.1,114.88,0.88,0.02,4.07,5.36,95.92,1.7625,0
0.2505,0.18,254.57,1.36,0.15,2.26,6.34,87.47,1.75,0
0.2471,0.47,342.46,4.02,6.13,1,5.33,81.09,1.7375,0
0.2509,0.1,611.6,0.94,0,0.85,7.65,86.88,1.725,10
0.2746,0.31,525.48,2.67,2.05,2.05,6.9,82.31,1.7125,5.7
0.2774,0.29,546.37,2.24,1.79,1.21,5.42,80.63,1.7,6.7
0.2783,0.21,678.07,1.63,0.4,0.67,10.59,83.92,1.575,8.8
0.2846,0.41,350.05,3.64,3.81,1.08,5.63,87.71,1.45,3.4
0.277,0.13,250.27,1.3,0.14,0.58,3.56,94.34,1.325,2.1
0.2712,0.49,269.99,4.5,4.99,0.23,6.08,88.61,1.2,2.7
0.2702,0.39,335.58,2.79,0.76,1.78,8.46,90.17,1.075,0
0.2619,0.38,477.26,2.72,1.04,5.26,11.14,85.97,0.95,0.4
0.2556,0.3,689.97,1.64,0.42,7.81,14.05,82.14,0.825,1.3
0.2544,0.26,331.39,2.05,0.04,5.64,9.21,89.77,0.7,0
0.2506,0.37,146.11,2.81,1.24,1.24,7.37,95.02,0.775,0
0.2475,0.47,420.21,3.5,3.6,2.81,7.27,85.49,0.85,2
0.248,0.37,571.69,2.62,1.05,5.79,11.07,90.65,0.925,0
0.2487,0.17,597.46,1.25,0.03,2.55,10.69,84.99,1,5
0.2559,0.6,250.77,4.66,5.47,0.18,7.03,91.4,1.075,3.6
0.2697,0.1,556.87,0.81,0.07,1.79,9.6,90.72,1.15,11.4
0.2769,0.3,446.51,2.4,2.02,0.62,5.18,87.72,1.225,5.6
0.2796,0.39,313.85,3.19,1.95,0.86,6.35,89.11,1.3,0.6
0.2687,0.43,239.53,3.54,1.31,-1.05,5.25,91.82,1.2625,0.4
0.26,0.35,389.87,3.29,2.03,-0.57,2.58,81.09,1.225,0.4
0.2533,0.73,395.72,6.87,6.77,-2.59,3.73,81.16,1.1875,0
0.2487,0.5,318.42,5.15,4.31,-4.44,0.82,79.49,1.15,0
0.2455,0.78,202.52,8.17,8.31,-6.51,1.76,74.9,1.1125,0
0.2417,0.74,188.96,7.73,7.02,-7.79,3.7,80.19,1.075,0
0.2399,0.55,390.99,5.16,4.13,-2.66,2.58,79.27,1.0375,0.5
0.2418,0.45,324.76,3.8,2.78,0.68,6.5,86.28,1,4.4
0.2599,0.6,575.57,4.37,3.06,0.78,7.47,84.2,1,1.7
0.2582,0.8,382.37,7.07,6.75,-1.3,5.86,79.26,1,0
0.2526,1,388.6,8.9,8.7,-1.7,6.35,71.48,1,0
0.2478,1.04,424.33,9.18,8.82,-2.72,5.75,62.86,1,5.2
0.2626,0.25,394.45,2.04,0.77,-0.64,8.92,91.8,1,0.2
0.2616,1.05,239,9.07,8.7,-2.78,8.44,83.9,1,0
0.2541,0.72,172.86,6.35,4.8,-4.82,6.6,82.71,1,0
0.248,1.04,197.08,9.36,8.57,-4.77,7.4,82.56,1,0
0.2459,0.5,174.91,4.2,1.43,-2.32,3.95,82.6,1,0
0.2439,0.66,206.45,6.16,3.9,-4.2,5.16,80.61,1,0
0.2411,1.07,273.28,9.98,9.17,-4.34,4.68,76.1,1,0
0.2389,1.16,406.01,10.72,9.36,-3.33,5.03,70.62,1,0
0.2365,1.14,463.92,10.92,8.82,-3.57,3.4,69.13,1,0
0.2337,1.09,576.7,10.52,9.13,-4.14,3.69,55.12,1,0
0.2332,1.15,518.27,11.73,9.66,-5.11,1.16,53.96,1,0
0.2293,0.76,456.42,8.3,6.04,-5.87,0.08,68.62,1,0
0.222,0.95,343.92,11.29,8.96,-8.24,0.19,68.75,0.8875,0
0.2121,0.85,586.33,10.45,8.59,-9.8,-3.17,63.14,0.775,0
0.1621,0.78,815.17,8.74,6.16,-7.84,0.17,46.68,0.6625,0
0.1287,0.62,669.52,6.72,3.26,-7.11,-0.16,54.96,0.55,1.8
0.1383,0.66,406.07,6.52,2.98,-3.99,1.42,75.27,0.4375,0
0.1736,1.12,353.76,8.77,3.42,-1.14,11.19,78.86,0.325,1.4
